r1172496.fit is not a target (BIAS)
r1172497.fit is not a target (BIAS)
r1172498.fit is not a target (BIAS)
r1172499.fit is not a target (FLAT)
r1172500.fit is not a target (FLAT)
r1172501.fit is not a target (FLAT)
r1172502.fit is not a target (FLAT)
r1172503.fit is not a target (FLAT)
r1172504.fit is not a target (FLAT)
r1172505.fit is not a target (FLAT)
r1172506.fit is not a target (FLAT)
r1172507.fit is not a target (FLAT)
r1172508.fit is not a target (FLAT)
r1172509.fit is not a target (FLAT)
r1172510.fit is not a target (FLAT)
r1172511.fit is not a target (FLAT)
r1172512.fit is not a target (FLAT)
r1172513.fit is not a target (FLAT)
r1172514.fit is not a target (FLAT)
r1172515.fit is not a target (FLAT)
r1172516.fit is not a target (FLAT)
r1172517.fit is not a target (FLAT)
r1172518.fit is not a target (FLAT)
r1172519.fit is not a target (FLAT)
r1172520.fit is not a target (FLAT)
r1172521.fit is not a target (FLAT)
r1172522.fit is not a target (FLAT)
r1172523.fit is not a target (FLAT)
r1172524.fit is not a target (FLAT)
r1172525.fit is not a target (FLAT)
r1172526.fit is not a target (FLAT)
r1172527.fit is not a target (FLAT)
r1172528.fit is not a target (FLAT)
r1172529.fit is not a target (FOCUS)
r1172530.fit is not a target (FOCUS)
r1172531.fit  3.66  1.21 0.101   441.3 from 457 sources of 2008ON
r1172532.fit  3.95  1.30 0.125   407.6 from 322 sources of 2008ON
r1172533.fit  3.84  1.27 0.135   393.6 from 207 sources of 2008ON
r1172534.fit  3.29  1.09 0.100   369.9 from 530 sources of 2008ON
r1172535.fit  3.64  1.20 0.128   349.1 from 195 sources of 2008ON
r1172536.fit  3.37  1.11 0.128   388.1 from 216 sources of 2008ON
r1172537.fit  3.40  1.12 0.133   401.4 from 269 sources of 2008ON
r1172538.fit  3.41  1.13 0.135   382.7 from  90 sources of 2008ON
r1172539.fit  3.41  1.13 0.125   316.9 from 466 sources of 2008ON
r1172540.fit  3.65  1.20 0.110   391.5 from 471 sources of 2008ON
r1172541.fit  3.79  1.25 0.078   303.1 from 463 sources of 2008ON
r1172542.fit  3.71  1.22 0.107   383.3 from 464 sources of 2008ON
r1172543.fit  3.56  1.17 0.104   381.6 from 483 sources of 2008ON
r1172544.fit  4.09  1.35 0.125   381.0 from 384 sources of 2008ON
r1172545.fit  4.15  1.37 0.128   381.5 from 275 sources of 2008ON
r1172546.fit  4.63  1.53 0.050   424.3 from  81 sources of 2002GA
r1172547.fit  4.64  1.53 0.068   421.5 from  82 sources of 2002GA
r1172548.fit  4.74  1.56 0.076   419.5 from  72 sources of 2002GA
r1172549.fit  4.31  1.42 0.040   417.1 from  84 sources of 2002GA
r1172550.fit  4.43  1.46 0.061   415.8 from  83 sources of 2002GA
r1172551.fit  4.56  1.50 0.030   412.7 from  81 sources of 2002GA
r1172552.fit  4.55  1.50 0.033   411.0 from  81 sources of 2002GA
r1172553.fit  4.35  1.44 0.049   414.3 from  85 sources of 2002GA
r1172554.fit  4.51  1.49 0.094   413.3 from  82 sources of 2002GA
r1172555.fit  4.48  1.48 0.073   417.4 from  80 sources of 2002GA
r1172556.fit  4.24  1.40 0.050   178.0 from  82 sources of 2002GA
r1172557.fit  4.13  1.36 0.047   408.5 from  87 sources of 2002GA
r1172558.fit  4.24  1.40 0.059   408.3 from  88 sources of 2002GA
r1172559.fit  3.84  1.27 0.070   143.5 from  99 sources of 2002GA
r1172560.fit  5.06  1.67 0.105   404.4 from  72 sources of 2002GA
r1172822.fit  3.80  1.25 0.036   216.8 from 426 sources of intphas_3470o i
r1172823.fit  4.31  1.42 0.041    90.0 from   4 sources of ST_PG0918 Ha
r1172824.fit  3.69  1.22 0.081   146.6 from  77 sources of ST_PG0918 r
r1172825.fit  2.95  0.97 0.040    92.8 from  34 sources of ST_PG0918 i
r1172826.fit  4.59  1.51 0.059    97.9 from  26 sources of ST_NGC4147 Ha
r1172827.fit  4.50  1.49 0.131   326.1 from  26 sources of ST_NGC4147 r
r1172828.fit  4.09  1.35 0.089   125.9 from  22 sources of ST_NGC4147 i
r1172829.fit  4.68  1.54 0.059    95.1 from  11 sources of ST_PG1323 Ha
r1172830.fit  5.27  1.74 0.061   234.9 from  37 sources of ST_PG1323 r
r1172831.fit  5.01  1.65 0.061   127.2 from  11 sources of ST_PG1323 i
r1172832.fit  4.92  1.62 0.045    31.9 from   6 sources of HZ44 r
r1172833.fit  6.24  2.06 0.048    32.6 from   4 sources of HZ44 U
r1172834.fit  4.79  1.58 0.081    32.0 from   6 sources of HZ44 g
r1172835.fit  3.67  1.21 0.044   120.5 from  49 sources of GD108 r
r1172836.fit  4.80  1.58 0.039   125.9 from  15 sources of GD108 U
r1172837.fit  4.50  1.49 0.028   114.9 from  28 sources of GD108 g
r1172838.fit  4.41  1.46 0.074    91.0 from 305 sources of NGC_2682 Ha
r1172839.fit  4.21  1.39 0.044   210.8 from 402 sources of NGC_2682 r
r1172840.fit  4.18  1.38 0.045   155.4 from 367 sources of NGC_2682 i
r1172841.fit  3.77  1.24 0.037   100.3 from 286 sources of NGC_2682o Ha
r1172842.fit  3.51  1.16 0.045   207.3 from 346 sources of NGC_2682o r
r1172843.fit  2.63  0.87 0.037   176.2 from 358 sources of NGC_2682o i
r1172844.fit  3.08  1.02 0.039   214.4 from 406 sources of NGC_2682 r
r1172845.fit  4.03  1.33 0.067   157.9 from 292 sources of NGC_2682 U
r1172846.fit  3.34  1.10 0.045   203.8 from 340 sources of NGC_2682 g
r1172847.fit  3.72  1.23 0.032   124.8 from 263 sources of NGC_2682 He1
r1172848.fit  3.12  1.03 0.056   291.0 from 333 sources of NGC_2682o r
r1172849.fit  4.03  1.33 0.036   176.5 from 225 sources of NGC_2682o U
r1172850.fit  3.62  1.19 0.039   227.8 from 281 sources of NGC_2682o g
r1172851.fit  4.16  1.37 0.058   142.0 from 185 sources of NGC_2682o He1
r1172852.fit  3.69  1.22 0.111   528.8 from 106 sources of LeoI r
r1172853.fit  3.60  1.19 0.070   347.6 from 107 sources of LeoI r
r1172854.fit  3.78  1.25 0.103   404.0 from  96 sources of LeoI r
r1172855.fit  3.75  1.24 0.125   757.0 from 115 sources of LeoI r
r1172856.fit  3.75  1.24 0.068   592.8 from 131 sources of LeoI r
r1172857.fit  3.89  1.28 0.087   712.1 from 126 sources of LeoI r
r1172858.fit  4.20  1.39 0.086   941.8 from 103 sources of LeoI g
r1172859.fit  4.10  1.35 0.062  1071.7 from  98 sources of LeoI g
r1172860.fit  4.85  1.60 0.090   816.7 from  97 sources of LeoI g
r1172861.fit  3.91  1.29 0.064  1236.8 from 135 sources of LeoI i
r1172862.fit  3.68  1.21 0.073  1252.9 from 135 sources of LeoI i
r1172863.fit  3.91  1.29 0.095   910.4 from 138 sources of LeoI i
r1172864.fit  3.70  1.22 0.043   196.7 from  40 sources of LeoI Ha
r1172865.fit  3.96  1.31 0.077   191.5 from  42 sources of LeoI Ha
r1172866.fit  3.96  1.31 0.041   139.0 from  48 sources of LeoI Ha
r1172867.fit  4.39  1.45 0.075   206.8 from  20 sources of LeoI HeI
r1172868.fit  4.44  1.47 0.046   387.1 from  15 sources of LeoI HeI
r1172869.fit  4.20  1.39 0.056   403.1 from  10 sources of LeoI HeI
r1172870.fit  4.48  1.48 0.072   326.8 from  23 sources of LeoI U
r1172871.fit  4.49  1.48 0.068   321.7 from  24 sources of LeoI U
r1172872.fit  5.42  1.79 0.081   321.3 from  22 sources of LeoI U
r1172873.fit is not a target (BIAS)
r1172874.fit is not a target (BIAS)
r1172875.fit is not a target (BIAS)
r1172876.fit is not a target (BIAS)
r1172877.fit is not a target (BIAS)
r1172878.fit is not a target (BIAS)
r1172879.fit is not a target (BIAS)
r1172880.fit is not a target (BIAS)
r1172881.fit is not a target (BIAS)
r1172882.fit is not a target (BIAS)
r1172883.fit is not a target (BIAS)
r1172884.fit is not a target (BIAS)
r1172885.fit is not a target (BIAS)
r1172886.fit is not a target (BIAS)
r1172887.fit is not a target (BIAS)
r1172888.fit is not a target (BIAS)
r1172889.fit is not a target (BIAS)
r1172890.fit is not a target (BIAS)
r1172891.fit is not a target (BIAS)
r1172892.fit is not a target (BIAS)
